Category,Sub Category,Product Segment,URL
Tabletop,Serveware,Beverage Tubs & Dispensers,https://www.athome.com/search/?q=BEVERAGE+TUBS+%26+DISPENSERS&lang=default
Tabletop,Serveware,Cake Stands & Tiered Servers,https://www.athome.com/search/?q=CAKE+STANDS+%26+TIERED+SERVERS&lang=default
Tabletop,Serveware,Lazy Susans,https://www.athome.com/search/?q=LAZY+SUSANS&lang=default
Tabletop,Serveware,Pitchers,https://www.athome.com/search/?q=PITCHERS&lang=default
Tabletop,Serveware,"Serveware Accessories (Coasters, Salt & Pepper Mills Etc)",https://www.athome.com/search/?q=SERVEWARE+ACCESSORIES+%28coasters%2C+salt+%26+pepper+mills+etc%29&lang=default
Tabletop,Serveware,Serving Bowls,https://www.athome.com/search/?q=SERVING+BOWLS&lang=default
Tabletop,Serveware,"Serving Trays, Platters & Boards",https://www.athome.com/search/?q=SERVING+TRAYS%2C+PLATTERS+%26+BOARDS&lang=default
Tabletop,Tableware,Dinnerware Sets,https://www.athome.com/search/?q=DINNERWARE+SETS&lang=default
Tabletop,Tableware,Flatware,https://www.athome.com/search/?q=FLATWARE&lang=default
Tabletop,Tableware,Kids Dinner Sets,https://www.athome.com/search/?q=KIDS+DINNER+SETS&lang=default
Tabletop,Tableware,Plates & Bowls,https://www.athome.com/search/?q=PLATES+%26+BOWLS&lang=default
Household,Homewares,Household Items,https://www.athome.com/search/?q=HOUSEHOLD+ITEMS&lang=default
Household,Homewares,Travel & Bags,https://www.athome.com/search/?q=TRAVEL+%26+BAGS&lang=default
Outdoor,Outdoor,Garden Storage,https://www.athome.com/search/?q=GARDEN+STORAGE&lang=default
Outdoor,Outdoor,Camping,https://www.athome.com/search/?q=CAMPING&lang=default
